Fecha,INF_ALL
2019-10-06,1.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,2.0
2019-11-03,5.0
2019-11-10,4.0
2019-11-17,13.0
2019-11-24,22.0
2019-12-01,22.0
2019-12-08,27.0
2019-12-15,58.0
2019-12-22,29.0
2019-12-29,48.0
2020-01-05,195.0
2020-01-12,329.0
2020-01-19,397.0
2020-01-26,395.0
2020-02-02,356.0
2020-02-09,258.0
2020-02-16,166.0
2020-02-23,113.0
2020-03-01,76.0
2020-03-08,56.0
2020-03-15,5.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,1.0
2021-02-21,0.0
2021-02-28,1.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,1.0
2021-10-10,1.0
2021-10-17,3.0
2021-10-24,2.0
2021-10-31,3.0
2021-11-07,3.0
2021-11-14,6.0
2021-11-21,5.0
2021-11-28,9.0
2021-12-05,12.0
2021-12-12,16.0
2021-12-19,9.0
2021-12-26,12.0
2022-01-02,8.0
2022-01-09,8.0
2022-01-16,9.0
2022-01-23,7.0
2022-01-30,11.0
2022-02-06,11.0
2022-02-13,14.0
2022-02-20,14.0
2022-02-27,35.0
2022-03-06,65.0
2022-03-13,81.0
2022-03-20,102.0
2022-03-27,79.0
2022-04-03,48.0
2022-04-10,23.0
2022-04-17,43.0
2022-04-24,34.0
2022-05-01,31.0
2022-05-08,84.0
2022-05-15,69.0
2022-05-22,62.0
2022-05-29,58.0
2022-06-05,61.0
2022-06-12,44.0
2022-06-19,47.0
2022-06-26,37.0
2022-07-03,24.0
2022-07-10,20.0
2022-07-17,13.0
2022-07-24,7.0
2022-07-31,10.0
2022-08-07,13.0
2022-08-14,23.0
2022-08-21,52.0
2022-08-28,55.0
2022-09-04,54.0
2022-09-11,78.0
2022-09-18,73.0
2022-09-25,62.0
2022-10-02,69.0
2022-10-09,72.0
2022-10-16,96.0
2022-10-23,94.0
2022-10-30,58.0
2022-11-06,141.0
2022-11-13,173.0
2022-11-20,188.0
2022-11-27,243.0
2022-12-04,183.0
2022-12-11,334.0
2022-12-18,326.0
2022-12-25,183.0
2023-01-01,147.0
2023-01-08,195.0
2023-01-15,184.0
2023-01-22,179.0
2023-01-29,291.0
2023-02-05,339.0
2023-02-12,412.0
2023-02-19,369.0
2023-02-26,311.0
2023-03-05,380.0
2023-03-12,297.0
2023-03-19,212.0
2023-03-26,106.0
2023-04-02,54.0
2023-04-09,65.0
2023-04-16,35.0
2023-04-23,29.0
2023-04-30,16.0
2023-05-07,22.0
2023-05-14,10.0
2023-05-21,10.0
2023-05-28,9.0
2023-06-04,5.0
2023-06-11,7.0
2023-06-18,0.0
2023-06-25,4.0
2023-07-02,6.0
2023-07-09,5.0
2023-07-16,3.0
2023-07-23,0.0
2023-07-30,2.0
2023-08-06,1.0
2023-08-13,4.0
2023-08-20,4.0
2023-08-27,5.0
2023-09-03,12.0
2023-09-10,3.0
2023-09-17,8.0
2023-09-24,5.0
2023-10-01,13.0
2023-10-08,8.0
2023-10-15,12.0
2023-10-22,23.0
2023-10-29,1.0
2023-11-05,27.0
2023-11-12,0.0
2023-11-19,59.0
2023-11-26,0.0
2023-12-03,87.0
2023-12-10,210.0
2023-12-17,273.0
2023-12-24,250.0
2023-12-31,340.0
2024-01-07,398.0
2024-01-14,293.0
2024-01-21,182.0
2024-01-28,125.0
2024-02-04,80.0
2024-02-11,46.0
2024-02-18,29.0
2024-02-25,16.0
2024-03-03,22.0
2024-03-10,16.0
2024-03-17,15.0
2024-03-24,9.0
2024-03-31,7.0
2024-04-07,7.0
2024-04-14,6.0
2024-04-21,3.0
2024-04-28,10.0
2024-05-05,9.0
2024-05-12,4.0
2024-05-19,9.0
2024-05-26,13.0
2024-06-02,3.0
2024-06-09,6.0
2024-06-16,5.0
2024-06-23,1.0
2024-06-30,8.0
2024-07-07,3.0
2024-07-14,8.0
2024-07-21,9.0
2024-07-28,6.0
2024-08-04,9.0
2024-08-11,8.0
2024-08-18,5.0
2024-08-25,10.0
2024-09-01,14.0
2024-09-08,7.0
2024-09-15,6.0
2024-09-22,6.0
2024-09-29,15.0
2024-10-06,15.0
2024-10-13,22.0
2024-10-20,25.0
2024-10-27,28.0
2024-11-03,54.0
2024-11-10,50.0
2024-11-17,54.0
2024-11-24,76.0
2024-12-01,70.0
2024-12-08,101.0
2024-12-15,221.0
2024-12-22,117.0
2024-12-29,164.0
2025-01-05,442.0
2025-01-12,574.0
2025-01-19,622.0
2025-01-26,506.0
2025-02-02,419.0
2025-02-09,390.0
2025-02-16,249.0
2025-02-23,166.0
2025-03-02,76.0
2025-03-09,117.0
2025-03-16,65.0
2025-03-23,54.0
